"datasetid","sitename","success","reason"
"15478","Brozie Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15479","Camp Two Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"1548","Kotiranta Lake",1,NA
"15487","Cowden Lake",1,NA
"15489","Ferry Lake",1,NA
"15492","Hicks Lake",1,NA
"15494","Hual Cu Cuish Meadow",1,NA
"15506","Little Green Valley Meadow",1,NA
"15511","Morrison Lake",1,NA
"15513","Nebraska Sand Hills",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"1552","Kryzewinski Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15564","Chalmer's Bog (PL-78-37)",1,NA
"15580","Van Wyck",1,NA
"15586","McCall Fen",1,NA
"15588","Devil's Bathtub",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15591","Skunk Cabbage Meadow",1,NA
"15594","Taquitz Meadow",1,NA
"15597","Albany River Bog",1,NA
"15627","Portage Lake",1,NA
"15628","Bear Lake",0,"Error in if (any(geochron$chroncontrolid == 105848)) { : 
  missing value where TRUE/FALSE needed
"
"15630","Belec Lake Bog",1,NA
"15635","Oldman Bog",1,NA
"15637","Big Cypress (core 03-9-16-3)",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  3 controls; types not in master
"
"15639","Big Cypress (core 03-9-16-6)",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  3 controls; types not in master
"
"1564","Kylen Lake",1,NA
"15641","Big Sandy Creek",1,NA
"15646","Bluff Lake",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15660","Buck Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  7 controls; types not in master
"
"15667","Buckbean Bog",1,NA
"1568","Lacawac",1,NA
"15680","Bunker Lake",1,NA
"15682","Canyon Lake",1,NA
"15684","Catahoula Lake (core CLR3)",1,NA
"1569","Lac Colin",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  10 controls; types not in master
"
"15696","Catahoula Lake (core CLR3)",1,NA
"1570","Lac Hamard",1,NA
"15700","Clearwater Bog",1,NA
"15702","Collins Pond Site (PL-86-56)",1,NA
"1571","Lac Louis",1,NA
"15713","Crater Lake",1,NA
"15715","Dead Horse Lake",1,NA
"15719","Donard Lake",1,NA
"1572","Lac à Magie",1,NA
"15724","Dune Lake",1,NA
"15730","Fire Lake",0,"Error in BchronCheck(ages = ages, ageSds = ageSds, positions = positions,  : 
  Assertion on 'positions' failed: Contains missing values (element 4).
"
"15732","Goose Bay Marsh",1,NA
"15734","Grassy Lake",1,NA
"15738","Harris Lake",1,NA
"1574","Ladd Lake",1,NA
"15740","Hemlock Lake",1,NA
"15744","Joggins Section (MS-82-44)",1,NA
"15746","Lake Jake",1,NA
"15750","Lake Shelby",1,NA
"15752","Lantz Site",1,NA
"15757","Laysan Island Lake",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15762","Lily Lake",0,"Error in BchronCheck(ages = ages, ageSds = ageSds, positions = positions,  : 
  Assertion on 'positions' failed: Contains missing values (element 2).
"
"15764","Lily Pond",1,NA
"15766","Lilypad Lake",1,NA
"15768","Lost Lake",1,NA
"15772","Martens Slough (PL-77-20)",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15776","McMurray Lake",1,NA
"15778","Mono Lake",1,NA
"15781","Moraine Bog",1,NA
"15783","Moraine Lake",1,NA
"15785","Stewert Point Pond",1,NA
"15789","Caribou Lake (MS-74-15)",1,NA
"15793","Roulston Lake (MS-78-15)",1,NA
"15796","Blomidon Section MS-89-16",1,NA
"1580","Lake Sixteen",1,NA
"1581","Lake 27",1,NA
"15811","Nutella Lake",1,NA
"15814","Swampbuggy Lake",1,NA
"15819","Porcupine Mountain",1,NA
"1582","Lake 31",1,NA
"15820","Prospect Hill II",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  3 controls; types not in master
"
"15821","Prospect Hill VII",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  3 controls; types not in master
"
"15825","Pascagoula Marsh",1,NA
"15827","Rock Lake",1,NA
"15829","Robinson Lake",1,NA
"1583","Lake A",1,NA
"15831","Sandy Run Creek",1,NA
"1584","Lake Ann",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15855","Sheep Mountain Bog",1,NA
"15856","Slab City",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  3 controls; types not in master
"
"15857","Slab City",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  3 controls; types not in master
"
"1586","Lake B",1,NA
"15864","Swan Lake",1,NA
"15866","Tannersville Bog",1,NA
"1587","Lake BN7",1,NA
"15870","Testalinden Lake",1,NA
"15872","Top Lake",1,NA
"15876","Tulare Lake",1,NA
"15878","Tumalo Lake",1,NA
"1588","Lake Carlson",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15882","Warner Lake",1,NA
"15886","Crystal Lake",1,NA
"15892","White Lake",1,NA
"1590","Lake CH2",1,NA
"15902","Woods Lake",1,NA
"15904","Divers Lake",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15909","Ballston Lake",1,NA
"1591","Lake EC1",1,NA
"15916","Kerr Lake",1,NA
"15919","Crooked Lake",1,NA
"1592","Lake EC2",1,NA
"15922","Jay Lake",1,NA
"15925","Lake O' Pines",1,NA
"15929","Hiscock Site",1,NA
"15931","Green Pond",1,NA
"15933","Lily Warwick",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15935","Little Mirror Lake",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15939","SRM-1",1,NA
"1594","Lake GB1",1,NA
"15942","Otter Pond",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15944","Silver Lake",1,NA
"15947","Larix laricina Site 4",1,NA
"1595","Lake GB2",1,NA
"15950","Larix laricina Site 5",1,NA
"15952","Larix laricina Site 10",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15965","Qually Pond",1,NA
"15967","Stoneman Lake",1,NA
"15970","Farewell Lake",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15976","Grandfather Lake",1,NA
"1598","Lake LB1",1,NA
"15980","Ongivinuk Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15982","Mayflower Lake",1,NA
"15985","Itasca Bison Kill Site",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15989","Itasca Bison Kill Site",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"1599","Lake LR1",1,NA
"15992","Itasca Bison Kill Site",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  less than 2 non-NA ages
"
"15998","Itasca Bison Kill Site",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  less than 2 non-NA ages
"
"16002","Itasca Bison Kill Site",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  less than 2 non-NA ages
"
"16009","Pigeon Marsh",1,NA
"1601","Lake LR3",1,NA
"16012","Torren's Bog",1,NA
"16016","Secret Valley Marsh",1,NA
"1603","Lake LT1",1,NA
"1604","Lake PWWL",1,NA
"16046","Lower Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"16054","Little Willow Lake",1,NA
"1606","Lake QC",1,NA
"16061","Cedar Lake",1,NA
"16063","Elkhorn Slough",1,NA
"16065","CA-HUM-558 (Pilot Ridge)",1,NA
"16069","Preston Lake",1,NA
"1607","Lake Six",1,NA
"16071","Taylor Marsh",1,NA
"16073","Tule Lake",1,NA
"16075","Grass Lake",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"16077","Bradshaw Lake peat section",1,NA
"16079","Brier Island Bog MS-85-22",1,NA
"16081","Chance Harbour Lake",1,NA
"16083","Lost Moose Core 128",1,NA
"16086","Island Lake",1,NA
"16096","Cook Bank",1,NA
"16099","Logan Inlet",0,"Error in h(simpleError(msg, call)) : 
  error in evaluating the argument 'x' in selecting a method for function 'mean': argument ""mod_radio"" is missing, with no default
"
"16101","Juan Perez Sound",1,NA
"16103","Pye Lake",1,NA
"16105","Silcox Core 52",0,"Error in h(simpleError(msg, call)) : 
  error in evaluating the argument 'x' in selecting a method for function 'mean': argument ""mod_radio"" is missing, with no default
"
"16107","Thibaudeau",1,NA
"16109","Patricia Bay Lake",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"1611","L'Anse aux Meadows Site",1,NA
"16111","Grays Lake",1,NA
"16113","Grays Lake",1,NA
"16115","Los Penasquitos Lagoon",1,NA
"16124","Crawford Lake",1,NA
"16127","Twiss Marl Pond",1,NA
"16129","Lima Bog",1,NA
"16131","Mission Cross Bog",1,NA
"16133","Ruby Marsh",1,NA
