"datasetid","sitename","success"
"7","Three Pines Bog",1
"700",NA,0
"701","Divide Lake",1
"719","Dome Creek Meadow",1
"721","Donut Pond Bog",0
"722","Dosquet",1
"772","Duck Pond",1
"773","Lac Dufresne",1
"776","Eagle Lake Bog",1
"777","Eagle Lake",1
"778","Eaglenest Lake",1
"781","East Twin Lake",0
"782","East Baltic Bog",1
"7829","Natural Bridges National Monument",0
"785","Edward Lake",1
"790","Eldora Fen",1
"796","Emerald Lake",1
"803","Ennadai Lake",1
"805","Lake Erie",1
"806","Ernst Brother's Pit",0
"808","East Sooke Fen",0
"810","Lac à la Fourche",1
"811","Etivlik Lake",1
"813","East Twin Lake",1
"815","Excelsior Basin",1
"816","Exchequer Meadow",1
"821","Tourbière de Farnham",1
"823","Fawn Lake (CA:Ontario)",1
"828","Ferndale Bog",1
"829","Fiddler's Pond",1
"832","Fish Lake",1
"834","Beaverhouse Lake",1
"835","Floating Island Lake",1
"841","Forest Pond 1",0
"843","Forest Pond 2",1
"844","Forest Lake",1
"849","Hayes Lake",1
"850","French Lake",1
"851","Frenchmens Bay",1
"852","Fresh Pond",1
"853","Frying Pan Lake",1
"855","Fudger Lake",1
"856","Furnival Lake",1
"857","Saint-Gabriel",1
"859","Gardiner's Hole",1
"860","Gass Lake",1
"861",NA,0
"862","Georgian Bay, Lake Huron (1)",0
"863",NA,0
"865","Lac Geai",1
"871","Lac à St-Germain",1
"874","Upper Gillies Lake",0
"875","Glacial Lake",0
"878","Jones Lake [Glenboro site]",1
"965","Goff Lake",1
"966","Gold Lake Bog",1
"969","Goshen Springs",1
"971","Gould Pond",1
"972","Gould's Bog",0
"973","Graham Lake",1
"974","Grand Rapids",1
"975","Grant Lake",1
"976","Lac Gras",1
"978","Gravel Ridge",1
"981","Green Point Pond",0
"983","Green Pond",1
"985","Greenwater Pond",0
"986","Grenadier Pond",1
"991","Guardipee Lake",1
"995","Water Conservation Area 3B, Gumbo Limbo Near Tail",1
"996","Water Conservation Area 3B, Gumbo Limbo Wet Head",1
"999","Hack Pond",1
